"C","Day-Ahead Energy Market Hourly LMP Report"
"C","Filename: WW_DALMP_ISO_20191219.csv"
"C","Report for: 12/19/2019 - 12/19/2019"
"C","Report generated: 12/18/2019 12:36:29 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/19/2019","01","1031","UN.FALMOUTH25  WTIS","NETWORK NODE",99.99,97.41,0.16,2.42
"D","12/19/2019","01","1032","UN.BPT_ENER16  BHCC","NETWORK NODE",96.96,97.41,0.16,-0.61
"D","12/19/2019","01","1086","UN.BERK_PWR21  BERK","NETWORK NODE",99.31,97.41,0.16,1.74
"D","12/19/2019","01","1185","UN.STONYBRK13.2ST1A","NETWORK NODE",98.9,97.41,0.16,1.33
"D","12/19/2019","01","1186","UN.STONYBRK13.2ST1B","NETWORK NODE",98.9,97.41,0.16,1.33
"D","12/19/2019","01","1187","UN.STONYBRK13.2ST1C","NETWORK NODE",98.9,97.41,0.16,1.33
"D","12/19/2019","01","1210","UN.MILLENUM16  MILN","NETWORK NODE",98.73,97.41,0.16,1.16
"D","12/19/2019","01","1221","UN.ESSEX   34.5ESSD","NETWORK NODE",96.34,97.41,0.16,-1.23
"D","12/19/2019","01","1226","UN.TIVERTON18.0TIVR","NETWORK NODE",102.35,97.41,0.16,4.78
"D","12/19/2019","01","1255","UN.RUMFD_IP18.0RUMF","NETWORK NODE",90.36,97.41,0.16,-7.21
"D","12/19/2019","01","1286","UN.BLKSTONE21  BKS1","NETWORK NODE",98.38,97.41,0.16,0.81
"D","12/19/2019","01","1287","UN.BLKSTONE21  BKS2","NETWORK NODE",98.38,97.41,0.16,0.81
"D","12/19/2019","01","1342","UN.LAKE_RD 21  LRD1","NETWORK NODE",98.01,97.41,0.16,0.44
"D","12/19/2019","01","1343","UN.LAKE_RD 21  LRD2","NETWORK NODE",98.01,97.41,0.16,0.44
"D","12/19/2019","01","1344","UN.LAKE_RD 21  LRD3","NETWORK NODE",98.01,97.41,0.16,0.44
"D","12/19/2019","01","1376","UN.WALNGFRD13.8WAL1","NETWORK NODE",98.19,97.41,0.16,0.62
"D","12/19/2019","01","1377","UN.WALNGFRD13.8WAL2","NETWORK NODE",98.19,97.41,0.16,0.62
"D","12/19/2019","01","1378","UN.WALNGFRD13.8WAL3","NETWORK NODE",98.19,97.41,0.16,0.62
"D","12/19/2019","01","1379","UN.WALNGFRD13.8WAL4","NETWORK NODE",98.19,97.41,0.16,0.62
"D","12/19/2019","01","1380","UN.WALNGFRD13.8WAL5","NETWORK NODE",98.19,97.41,0.16,0.62
"D","12/19/2019","01","1385","UN.MILFD_CT21  MFD1","NETWORK NODE",96.58,97.41,0.16,-0.99
"D","12/19/2019","01","1386","UN.MILFD_CT21  MFD2","NETWORK NODE",96.58,97.41,0.16,-0.99
"D","12/19/2019","01","1412","UN.BELL_30321  BEL1","NETWORK NODE",98.48,97.41,0.16,0.91
"D","12/19/2019","01","1415","UN.BELL_30321  BEL2","NETWORK NODE",98.48,97.41,0.16,0.91
"D","12/19/2019","01","1432","UN.SYKES_RD13.8FLRV","NETWORK NODE",101.33,97.41,0.16,3.76
"D","12/19/2019","01","1478","UN.MYSTIC  18.1MYS8","NETWORK NODE",96.89,97.41,0.16,-0.68
"D","12/19/2019","01","1616","UN.MYSTIC  18.1MYS9","NETWORK NODE",96.27,97.41,0.16,-1.3
"D","12/19/2019","01","1630","UN.RISE    18.0RISE","NETWORK NODE",97.44,97.41,0.16,-0.13
"D","12/19/2019","01","1649","UN.NEW_ENER18.0NEWE","NETWORK NODE",95.27,97.41,0.16,-2.3
"D","12/19/2019","01","1672","UN.KENDALL 18.0KEN4","NETWORK NODE",97.37,97.41,0.16,-0.2
"D","12/19/2019","01","1693","UN.W_SPRFLD13.8WSG1","NETWORK NODE",99.32,97.41,0.16,1.75
"D","12/19/2019","01","1694","UN.W_SPRFLD13.8WSG2","NETWORK NODE",99.32,97.41,0.16,1.75
"D","12/19/2019","01","2425","UN.W_SPRFLD13.8SPRF","NETWORK NODE",99.32,97.41,0.16,1.75
"D","12/19/2019","01","2426","UN.WINSLOW 34.5UNAH","NETWORK NODE",91.34,97.41,0.16,-6.23
"D","12/19/2019","01","2430","UN.FLORNCE 46  BLDN","NETWORK NODE",97.61,97.41,0.16,0.04
